"timestamp","ip","protocol","port","hostname","tag","asn","geo","region","city","naics","sic","name","model","device","features"
"2020-08-01 12:22:46","14.167.241.11","tcp",5555,"static.vnpt.vn","adb",45899,"VN","TRA VINH","CHAU THANH",517311,,,,,
"2020-08-01 12:23:08","123.27.125.131","tcp",5555,"localhost","adb",45899,"VN","HA NOI","HANOI",517311,,,,,
"2020-08-01 12:23:37","14.176.178.147","tcp",5555,"static.vnpt.vn","adb",45899,"VN","TAY NINH","TAY NINH",517311,,,,,
"2020-08-01 12:24:17","14.182.114.180","tcp",5555,"static.vnpt.vn","adb",45899,"VN","THANH HOA","THANH HOA",517311,,,,,
"2020-08-01 12:24:36","14.188.101.111","tcp",5555,"static.vnpt.vn","adb",45899,"VN","THANH HOA","THANH HOA",517311,,,,,
"2020-08-01 12:24:45","123.23.53.164","tcp",5555,,"adb",45899,"VN","LONG AN","TAN AN",517311,,,,,
"2020-08-01 12:25:04","14.171.143.145","tcp",5555,"static.vnpt.vn","adb",45899,"VN","HA NOI","HANOI",517311,,,,,
"2020-08-01 12:25:36","27.2.87.25","tcp",5555,,"adb",45543,"VN","PHU YEN","TUY HOA",0,,"mtk_mt5882","Generic Android on mt5882","mt5882",
"2020-08-01 12:26:18","14.254.243.56","tcp",5555,"static.vnpt.vn","adb",45899,"VN","DA NANG","DA NANG",517311,,,,,
"2020-08-01 12:27:08","14.247.58.28","tcp",5555,"static.vnpt.vn","adb",45899,"VN","THANH HOA","THANH HOA",517311,,,,,
"2020-08-01 12:27:10","123.27.116.37","tcp",5555,"localhost","adb",45899,"VN","HA NOI","HANOI",517311,,,,,
"2020-08-01 12:27:30","112.197.137.80","tcp",5555,,"adb",45543,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,"CVTE_MSD338_1G_PB801","CVTE_MSD338_1G","CVTE_MSD338_1G_PB801",
"2020-08-01 12:27:35","113.188.122.210","tcp",5555,"static.vnpt.vn","adb",45899,"VN","LONG AN","LONG AN",517311,,,,,
"2020-08-01 12:28:00","115.75.214.4","tcp",5555,,"adb",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,"p281","TX3MINI","p281","stat_v2,cmd,shell_v2"
"2020-08-01 12:28:31","14.167.241.142","tcp",5555,"static.vnpt.vn","adb",45899,"VN","TRA VINH","CHAU THANH",517311,,,,,
"2020-08-01 12:28:35","116.100.32.169","tcp",5555,"dynamic-adsl.viettel.vn","adb",24086,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,,,,
"2020-08-01 12:28:35","113.169.200.199","tcp",5555,"static.vnpt.vn","adb",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,,,,
"2020-08-01 12:28:38","123.23.54.29","tcp",5555,,"adb",45899,"VN","LONG AN","LONG AN",517311,,,,,
"2020-08-01 12:29:04","14.167.240.172","tcp",5555,"static.vnpt.vn","adb",45899,"VN","TRA VINH","CHAU THANH",517311,,,,,
"2020-08-01 12:29:14","14.239.138.10","tcp",5555,"static.vnpt.vn","adb",45899,"VN","HAI PHONG","HAI PHONG",517311,,,,,
"2020-08-01 12:29:59","123.23.55.175","tcp",5555,,"adb",45899,"VN","LONG AN","LONG AN",517311,,,,,
"2020-08-01 12:30:00","113.188.120.154","tcp",5555,"static.vnpt.vn","adb",45899,"VN","LONG AN","TAN AN",517311,,,,,
"2020-08-01 12:30:24","113.183.236.158","tcp",5555,"static.vnpt.vn","adb",45899,"VN","LONG AN","LONG AN",517311,,,,,
"2020-08-01 12:30:24","14.242.35.183","tcp",5555,"static.vnpt.vn","adb",45899,"VN","HA NOI","HANOI",517311,,"mtk_mt5882","Generic Android on mt5882","mt5882",
"2020-08-01 12:30:28","112.197.98.246","tcp",5555,,"adb",45543,"VN","DA NANG","DA NANG",0,,"p281","TX3MINI-TYPE1","p281","cmd,shell_v2"
"2020-08-01 12:30:40","14.188.195.36","tcp",5555,"static.vnpt.vn","adb",45899,"VN","PHU THO","VIET TRI",517311,,,,,
"2020-08-01 12:30:42","14.167.240.183","tcp",5555,"static.vnpt.vn","adb",45899,"VN","TRA VINH","CHAU THANH",517311,,,,,
"2020-08-01 12:31:28","113.174.52.62","tcp",5555,"static.vnpt.vn","adb",45899,"VN","LONG AN","LONG AN",517311,,,,,
"2020-08-01 12:31:33","113.183.236.104","tcp",5555,"static.vnpt.vn","adb",45899,"VN","LONG AN","LONG AN",517311,,,,,
"2020-08-01 12:31:56","113.183.227.173","tcp",5555,"static.vnpt.vn","adb",45899,"VN","HA NOI","HANOI",517311,,,,,
"2020-08-01 12:32:01","113.183.45.30","tcp",5555,"static.vnpt.vn","adb",45899,"VN","HA NOI","HANOI",517311,,,,,
"2020-08-01 12:32:11","14.237.82.197","tcp",5555,"static.vnpt.vn","adb",45899,"VN","TAY NINH","TAY NINH",517311,,,,,
"2020-08-01 12:32:40","113.174.52.166","tcp",5555,"static.vnpt.vn","adb",45899,"VN","LONG AN","LONG AN",517311,,,,,
"2020-08-01 12:32:42","14.246.69.164","tcp",5555,"static.vnpt.vn","adb",45899,"VN","HA NOI","HANOI",517311,,,,,
"2020-08-01 12:32:54","116.111.4.5","tcp",5555,,"adb",24086,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,,,,
"2020-08-01 12:32:58","171.248.161.127","tcp",5555,"dynamic-ip-adsl.viettel.vn","adb",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,,,,
"2020-08-01 12:32:58","115.72.251.152","tcp",5555,"adsl.viettel.vn","adb",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,,,,
"2020-08-01 12:33:28","113.174.55.249","tcp",5555,"static.vnpt.vn","adb",45899,"VN","SOC TRANG","SOC TRANG",517311,,,,,
"2020-08-01 12:34:00","113.189.161.9","tcp",5555,"static.vnpt.vn","adb",45899,"VN","SON LA","SON LA",517311,,"rtd298x_tv001","rtd298x_tv001","rtd298x_tv001",
"2020-08-01 12:34:09","113.188.123.91","tcp",5555,"static.vnpt.vn","adb",45899,"VN","LONG AN","LONG AN",517311,,,,,
"2020-08-01 12:34:11","112.197.139.135","tcp",5555,,"adb",45543,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,"p281","TX3MINI-TYPE2","p281","cmd,shell_v2"
"2020-08-01 12:34:27","14.167.240.232","tcp",5555,"static.vnpt.vn","adb",45899,"VN","TRA VINH","CHAU THANH",517311,,,,,
"2020-08-01 12:34:48","27.2.69.54","tcp",5555,,"adb",45543,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,"p281","TX3MINI-TYPE1","p281","cmd,shell_v2"
"2020-08-01 12:34:51","14.173.183.4","tcp",5555,"static.vnpt.vn","adb",45899,"VN","CAN THO","CAN THO",517311,,"rk322x_box","AndroidBox","rk322x_box","cmd,shell_v2"
"2020-08-01 12:34:52","27.2.86.240","tcp",5555,,"adb",45543,"VN","PHU YEN","TUY HOA",0,,"mtk_mt5882","Generic Android on mt5882","mt5882",
"2020-08-01 12:34:52","113.169.83.242","tcp",5555,"static.vnpt.vn","adb",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,,,,
"2020-08-01 12:34:54","14.229.7.151","tcp",5555,"static.vnpt.vn","adb",45899,"VN","HAI PHONG","HAI PHONG",517311,,,,,
"2020-08-01 12:35:09","113.169.83.124","tcp",5555,"static.vnpt.vn","adb",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,,,,
"2020-08-01 12:35:19","113.161.54.25","tcp",5555,"static.vnpt.vn","adb",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,"hlteuc","SAMSUNG-SM-N900A","hlteatt",
"2020-08-01 12:35:50","14.172.195.206","tcp",5555,"static.vnpt.vn","adb",45899,"VN","HA NOI","HANOI",517311,,,,,
"2020-08-01 12:35:53","14.167.220.244","tcp",5555,"static.vnpt.vn","adb",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,,,,
"2020-08-01 12:35:57","113.188.122.92","tcp",5555,"static.vnpt.vn","adb",45899,"VN","LONG AN","LONG AN",517311,,,,,
"2020-08-01 12:35:58","14.178.35.192","tcp",5555,"static.vnpt.vn","adb",45899,"VN","THANH HOA","THANH HOA",517311,,,,,
"2020-08-01 12:36:45","27.2.147.220","tcp",5555,,"adb",45543,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,"CVTM638_768_PC822","ASANZO","CVTM638_768_PC822",
"2020-08-01 12:36:56","123.23.205.115","tcp",5555,,"adb",45899,"VN","LONG AN","LONG AN",517311,,,,,
"2020-08-01 12:37:05","113.163.48.69","tcp",5555,"static.vnpt.vn","adb",45899,"VN","LONG AN","LONG AN",517311,,,,,
"2020-08-01 12:37:44","116.103.166.106","tcp",5555,,"adb",24086,"VN","QUANG NGAI","QUANG NGAI",517312,,,,,
"2020-08-01 12:37:44","113.169.83.63","tcp",5555,"static.vnpt.vn","adb",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,,,,
"2020-08-01 12:37:45","116.102.176.245","tcp",5555,,"adb",24086,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,,,,
"2020-08-01 12:37:48","113.188.120.52","tcp",5555,"static.vnpt.vn","adb",45899,"VN","LONG AN","TAN AN",517311,,,,,
"2020-08-01 12:37:48","112.197.111.44","tcp",5555,,"adb",45543,"VN","QUANG BINH","DONG HOI",0,,"rk312x","KIUI_3128_FG","rk312x",
"2020-08-01 12:38:32","14.166.198.144","tcp",5555,"static.vnpt.vn","adb",45899,"VN","THANH HOA","THANH HOA",517311,,,,,
"2020-08-01 12:38:35","113.188.122.61","tcp",5555,"static.vnpt.vn","adb",45899,"VN","LONG AN","LONG AN",517311,,,,,
"2020-08-01 12:38:49","171.249.183.71","tcp",5555,"dynamic-ip-adsl.viettel.vn","adb",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,,,,,
"2020-08-01 12:39:18","113.161.196.217","tcp",5555,"static.vnpt.vn","adb",45899,"VN","VINH LONG","VINH LONG",517311,,,,,
"2020-08-01 12:39:58","123.23.204.106","tcp",5555,,"adb",45899,"VN","LONG AN","LONG AN",517311,,,,,
"2020-08-01 12:40:19","171.244.67.5","tcp",5555,"dynamic-ip-adsl.viettel.vn","adb",7552,"VN","HAI PHONG","HAI PHONG",517312,,"lineage_rpi3","Raspberry Pi 3","rpi3","cmd,shell_v2"
"2020-08-01 12:40:58","113.188.121.120","tcp",5555,"static.vnpt.vn","adb",45899,"VN","LONG AN","TAN AN",517311,,,,,
"2020-08-01 12:41:21","14.181.112.165","tcp",5555,"static.vnpt.vn","adb",45899,"VN","HA NOI","HANOI",517311,,"dolphin_fvd_p2","kiwibox S2","dolphin-fvd-p1",
"2020-08-01 12:41:46","171.235.134.75","tcp",5555,"dynamic-ip-adsl.viettel.vn","adb",7552,"VN","BAC LIEU","BAC LIEU",517312,,,,,
"2020-08-01 12:41:48","123.17.27.219","tcp",5555,"static.vnpt.vn","adb",45899,"VN","HA NOI","HANOI",517311,,,,,
"2020-08-01 12:41:49","113.183.237.132","tcp",5555,"static.vnpt.vn","adb",45899,"VN","LONG AN","LONG AN",517311,,,,,
"2020-08-01 12:41:50","113.184.17.223","tcp",5555,"static.vnpt.vn","adb",45899,"VN","THANH HOA","THANH HOA",517311,,,,,
"2020-08-01 12:42:30","14.176.179.102","tcp",5555,"static.vnpt.vn","adb",45899,"VN","TAY NINH","TAY NINH",517311,,,,,
"2020-08-01 12:42:50","123.18.178.121","tcp",5555,,"adb",45899,"VN","THANH HOA","THANH HOA",517311,,,,,
"2020-08-01 12:42:53","14.171.143.146","tcp",5555,"static.vnpt.vn","adb",45899,"VN","HA NOI","HANOI",517311,,,,,
"2020-08-01 12:42:54","123.25.239.86","tcp",5555,"static.vdc.vn","adb",45899,"VN","LONG AN","CAN GIUOC",517311,,,,,
"2020-08-01 12:42:54","123.18.63.222","tcp",5555,,"adb",45899,"VN","HA NOI","HANOI",517311,,"rk312x","KIUI_3128_FG","rk312x",
"2020-08-01 12:44:16","27.2.44.183","tcp",5555,,"adb",45543,"VN","CAN THO","CAN THO",0,,"mtk_mt5882","Generic Android on mt5882","mt5882",
"2020-08-01 12:44:19","27.2.69.91","tcp",5555,,"adb",45543,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,"p281","TX3MINI-TYPE2","p281","cmd,shell_v2"
"2020-08-01 12:44:43","27.2.83.67","tcp",5555,,"adb",45543,"VN","KHANH HOA","NHA TRANG",0,,"rk322x_box","VIETBOX 888","rk322x_box","cmd,shell_v2"
"2020-08-01 12:44:48","113.183.237.85","tcp",5555,"static.vnpt.vn","adb",45899,"VN","LONG AN","LONG AN",517311,,,,,
"2020-08-01 12:44:51","27.2.81.190","tcp",5555,,"adb",45543,"VN","KHANH HOA","NHA TRANG",0,,"mtk_mt5882","Generic Android on mt5882","mt5882",
"2020-08-01 12:45:19","27.3.53.80","tcp",5555,,"adb",45543,"VN","KON TUM","KON TUM",0,,"mtk_mt5882","Generic Android on mt5882","mt5882",
"2020-08-01 12:45:26","222.252.255.226","tcp",5555,"static.vnpt.vn","adb",45899,"VN","QUANG TRI","QUANG TRI",517311,,,,,
"2020-08-01 12:45:32","123.25.146.247","tcp",5555,"static.vdc.vn","adb",45899,"VN","LONG AN","BEN LUC",517311,,,,,
"2020-08-01 12:45:43","113.181.242.143","tcp",5555,"static.vnpt.vn","adb",45899,"VN","THANH HOA","THANH HOA",517311,,,,,
"2020-08-01 12:46:10","113.169.83.186","tcp",5555,"static.vnpt.vn","adb",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,,,,
"2020-08-01 12:46:50","27.2.169.104","tcp",5555,,"adb",45543,"VN","DA NANG","DA NANG",0,,"p281","TX3MINI-TYPE1","p281","cmd,shell_v2"
"2020-08-01 12:46:51","113.182.219.133","tcp",5555,"static.vnpt.vn","adb",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,,,,
"2020-08-01 12:46:51","14.167.240.117","tcp",5555,"static.vnpt.vn","adb",45899,"VN","TRA VINH","CHAU THANH",517311,,,,,
"2020-08-01 12:47:19","27.2.67.178","tcp",5555,,"adb",45543,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,,"mtk_mt5882","Generic Android on mt5882","mt5882",
"2020-08-01 12:47:20","113.183.236.142","tcp",5555,"static.vnpt.vn","adb",45899,"VN","LONG AN","LONG AN",517311,,,,,
"2020-08-01 12:48:14","123.23.54.137","tcp",5555,,"adb",45899,"VN","LONG AN","LONG AN",517311,,,,,
"2020-08-01 12:48:14","14.173.155.144","tcp",5555,"static.vnpt.vn","adb",45899,"VN","HA NOI","HANOI",517311,,,,,
"2020-08-01 12:48:20","115.78.207.116","tcp",5555,,"adb",7552,"VN","AN GIANG","LONG XUYEN",517312,,"dolphin_fvd_p1","dolphin","dolphin-fvd-p1","cmd,shell_v2"
"2020-08-01 12:48:25","113.188.122.188","tcp",5555,"static.vnpt.vn","adb",45899,"VN","LONG AN","LONG AN",517311,,,,,
"2020-08-01 12:48:31","113.169.83.143","tcp",5555,"static.vnpt.vn","adb",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,,,,,
"2020-08-01 12:48:36","171.235.227.99","tcp",5555,"dynamic-adsl.viettel.vn","adb",7552,"VN","CA MAU","CA MAU",517312,,"mtk_mt5882","Generic Android on mt5882","mt5882",
"2020-08-01 12:48:36","113.188.120.155","tcp",5555,"static.vnpt.vn","adb",45899,"VN","LONG AN","TAN AN",517311,,,,,
"2020-08-01 12:48:39","27.2.86.36","tcp",5555,,"adb",45543,"VN","PHU YEN","TUY HOA",0,,"mtk_mt5882","Generic Android on mt5882","mt5882",
"2020-08-01 12:48:46","171.235.141.84","tcp",5555,"dynamic-ip-adsl.viettel.vn","adb",7552,"VN","BAC LIEU","BAC LIEU",517312,,,,,
"2020-08-01 12:48:46","112.197.202.29","tcp",5555,,"adb",45543,"VN","DA NANG","DA NANG",0,,"mtk_mt5882","Generic Android on mt5882","mt5882",
"2020-08-01 12:49:06","113.161.227.127","tcp",5555,"static.vnpt.vn","adb",45899,"VN","LONG AN","LONG AN",517311,,,,,
"2020-08-01 12:49:41","123.23.206.235","tcp",5555,,"adb",45899,"VN","LONG AN","LONG AN",517311,,,,,
"2020-08-01 12:49:45","14.176.178.141","tcp",5555,"static.vnpt.vn","adb",45899,"VN","TAY NINH","TAY NINH",517311,,,,,
"2020-08-01 12:49:55","112.197.104.59","tcp",5555,,"adb",45543,"VN","THUA THIEN-HUE","HUE",0,,"mtk_mt5882","Generic Android on mt5882","mt5882",
