"timestamp","ip","protocol","port","hostname","tag","asn","geo","region","city","naics","sic"
"2020-08-01 11:51:44","113.160.24.110","tcp",4786,"static.vnpt-hanoi.com.vn","cisco-smart-install",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 11:52:48","203.113.144.201","tcp",4786,,"cisco-smart-install",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,
"2020-08-01 11:53:05","14.238.7.34","tcp",4786,,"cisco-smart-install",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 11:53:06","222.255.95.1","tcp",4786,"static.vnpt.vn","cisco-smart-install",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,
"2020-08-01 11:53:11","101.96.114.74","tcp",4786,"ci96.114-74.netnam.vn","cisco-smart-install",24173,"VN","HA NOI","HANOI",0,
"2020-08-01 11:53:13","103.88.123.28","tcp",4786,,"cisco-smart-install",135909,"VN","BINH DUONG","DI AN",0,
"2020-08-01 11:53:16","45.117.78.30","tcp",4786,"45-117-78-30.static.bizmac.com","cisco-smart-install",131428,"VN","HAI PHONG","HAI PHONG",0,
"2020-08-01 11:53:34","171.244.55.45","tcp",4786,,"cisco-smart-install",38731,"VN","HA NOI","HANOI",517312,
"2020-08-01 11:53:56","210.211.103.86","tcp",4786,,"cisco-smart-install",38731,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,
"2020-08-01 11:54:17","123.29.75.30","tcp",4786,"static.vnpt.vn","cisco-smart-install",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 11:54:24","113.164.3.132","tcp",4786,"static.vnpt.vn","cisco-smart-install",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 11:54:26","210.211.121.142","tcp",4786,,"cisco-smart-install",38731,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,
"2020-08-01 11:55:04","171.244.58.126","tcp",4786,,"cisco-smart-install",38731,"VN","HA NOI","HANOI",517312,
"2020-08-01 11:55:18","103.3.253.138","tcp",4786,,"cisco-smart-install",56149,"VN","HA NOI","HANOI",0,
"2020-08-01 11:55:20","125.212.245.4","tcp",4786,,"cisco-smart-install",3873,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,
"2020-08-01 11:55:59","113.160.209.138","tcp",4786,"static.vnpt.vn","cisco-smart-install",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 11:56:04","116.212.37.33","tcp",4786,,"cisco-smart-install",55322,"VN","HA NOI","HANOI",0,
"2020-08-01 11:56:04","125.234.252.114","tcp",4786,"125.234.252.114.hcm.viettel.vn","cisco-smart-install",7552,"VN","HA NOI","HANOI",0,
"2020-08-01 11:56:05","125.234.120.34","tcp",4786,"125.234.120.34.hcm.viettel.vn","cisco-smart-install",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,
"2020-08-01 11:56:08","221.133.11.44","tcp",4786,,"cisco-smart-install",7602,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,
"2020-08-01 11:56:29","14.225.7.156","tcp",4786,"static.vnpt.vn","cisco-smart-install",135905,"VN","HA NOI","HANOI",517311,
"2020-08-01 11:56:50","210.245.91.26","tcp",4786,,"cisco-smart-install",18403,"VN","HA NOI","HANOI",517311,
"2020-08-01 11:57:18","123.31.26.11","tcp",4786,"static.vnpt.vn","cisco-smart-install",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 11:57:27","125.212.255.203","tcp",4786,,"cisco-smart-install",3873,"VN","BA RIA-VUNG TAU","VUNG TAU",517312,
"2020-08-01 11:57:27","101.53.19.50","tcp",4786,"ci53.19-50.netnam.vn","cisco-smart-install",24173,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,
"2020-08-01 11:58:12","113.160.249.170","tcp",4786,"static.vnpt.vn","cisco-smart-install",45899,"VN","KHANH HOA","NHA TRANG",517311,
"2020-08-01 11:58:46","203.113.156.6","tcp",4786,,"cisco-smart-install",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,
"2020-08-01 11:58:57","222.255.43.41","tcp",4786,"static.vnpt.vn","cisco-smart-install",45899,"VN","HUNG YEN","HUNG YEN",517311,
"2020-08-01 11:58:58","210.211.127.30","tcp",4786,,"cisco-smart-install",38731,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,
"2020-08-01 11:58:59","119.82.139.122","tcp",4786,"static.cmcti.vn","cisco-smart-install",45903,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,
"2020-08-01 11:59:39","203.205.59.82","tcp",4786,"static.cmcti.vn","cisco-smart-install",45903,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,
"2020-08-01 11:59:42","125.235.11.218","tcp",4786,"125.235.11.218.adsl.viettel.vn","cisco-smart-install",7552,"VN","HA NOI","HANOI",0,
"2020-08-01 11:59:48","125.212.250.186","tcp",4786,,"cisco-smart-install",3873,"VN","HA NOI","HANOI",517312,
"2020-08-01 12:00:12","14.238.94.73","tcp",4786,"static.vnpt.vn","cisco-smart-install",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,
"2020-08-01 12:00:19","222.255.6.33","tcp",4786,"static.vnpt.vn","cisco-smart-install",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 12:00:24","125.235.13.145","tcp",4786,"125.235.13.145.adsl.viettel.vn","cisco-smart-install",7552,"VN","HA NOI","HANOI",0,
"2020-08-01 12:00:44","210.211.103.118","tcp",4786,,"cisco-smart-install",38731,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,
"2020-08-01 12:00:45","203.162.120.2","tcp",4786,"static.vnpt.vn","cisco-smart-install",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 12:01:52","125.212.250.185","tcp",4786,,"cisco-smart-install",3873,"VN","HA NOI","HANOI",517312,
"2020-08-01 12:01:52","14.238.9.11","tcp",4786,"static.vnpt.vn","cisco-smart-install",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 12:01:55","45.117.78.25","tcp",4786,"45-117-78-25.static.bizmac.com","cisco-smart-install",131428,"VN","HAI PHONG","HAI PHONG",0,
"2020-08-01 12:01:59","27.72.73.137","tcp",4786,,"cisco-smart-install",7552,"VN","HAI PHONG","HAI PHONG",517312,
"2020-08-01 12:02:38","123.30.117.21","tcp",4786,"static.vnpt.vn","cisco-smart-install",45899,"VN","BA RIA-VUNG TAU","VUNG TAU",517311,
"2020-08-01 12:03:05","183.81.82.107","tcp",4786,,"cisco-smart-install",18403,"VN","HA NOI","HANOI",517311,
"2020-08-01 12:03:09","103.147.188.254","tcp",4786,"network.powernet.vn","cisco-smart-install",135905,"VN","HA NOI","HANOI",0,
"2020-08-01 12:03:24","103.68.250.254","tcp",4786,"network.powernet.vn","cisco-smart-install",135905,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,
"2020-08-01 12:03:27","203.205.57.17","tcp",4786,"static.cmcti.vn","cisco-smart-install",45903,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,
"2020-08-01 12:03:29","103.199.9.3","tcp",4786,,"cisco-smart-install",45899,"VN","HA NOI","HANOI",0,
"2020-08-01 12:04:11","45.119.240.154","tcp",4786,,"cisco-smart-install",131418,"VN","HA NOI","HANOI",0,
"2020-08-01 12:04:33","101.96.115.11","tcp",4786,"ci96.115-11.netnam.vn","cisco-smart-install",24173,"VN","HA NOI","HANOI",0,
"2020-08-01 12:04:53","113.164.29.113","tcp",4786,"static.vnpt.vn","cisco-smart-install",45899,"VN","BA RIA-VUNG TAU","VUNG TAU",517311,
"2020-08-01 12:04:56","152.32.162.248","tcp",4786,,"cisco-smart-install",135377,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,
"2020-08-01 12:04:56","125.234.254.177","tcp",4786,"125.234.254.177.hcm.viettel.vn","cisco-smart-install",7552,"VN","HA NOI","HANOI",0,
"2020-08-01 12:04:56","103.97.125.9","tcp",4786,"no-ptr.123host.vn","cisco-smart-install",56153,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,
"2020-08-01 12:05:46","118.69.127.246","tcp",4786,,"cisco-smart-install",18403,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,
"2020-08-01 12:06:22","203.113.130.65","tcp",4786,,"cisco-smart-install",7552,"VN","HA NOI","HANOI",517312,
"2020-08-01 12:06:23","42.112.21.133","tcp",4786,,"cisco-smart-install",18403,"VN","HA NOI","HANOI",517311,
"2020-08-01 12:06:31","14.238.1.146","tcp",4786,"static.vdc.vn","cisco-smart-install",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 12:06:56","203.113.144.97","tcp",4786,,"cisco-smart-install",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,
"2020-08-01 12:06:56","203.113.157.30","tcp",4786,,"cisco-smart-install",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,
"2020-08-01 12:06:58","118.69.132.34","tcp",4786,,"cisco-smart-install",18403,"VN","CAN THO","CAN THO",517311,
"2020-08-01 12:07:06","203.162.128.7","tcp",4786,"static.vnpt.vn","cisco-smart-install",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 12:07:07","222.255.95.105","tcp",4786,"static.vnpt.vn","cisco-smart-install",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,
"2020-08-01 12:07:07","203.113.144.185","tcp",4786,,"cisco-smart-install",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,
"2020-08-01 12:07:49","203.113.144.136","tcp",4786,,"cisco-smart-install",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,
"2020-08-01 12:07:59","118.71.255.46","tcp",4786,,"cisco-smart-install",18403,"VN","HA NOI","HANOI",517311,
"2020-08-01 12:08:26","101.96.87.7","tcp",4786,"ci96.87-7.netnam.vn","cisco-smart-install",24173,"VN","HA NOI","HANOI",0,
"2020-08-01 12:08:26","118.70.232.178","tcp",4786,,"cisco-smart-install",18403,"VN","HA NOI","HANOI",517311,
"2020-08-01 12:08:32","125.234.136.65","tcp",4786,"125.234.136.65.hcm.viettel.vn","cisco-smart-install",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,
"2020-08-01 12:08:54","222.255.79.62","tcp",4786,"static.vnpt.vn","cisco-smart-install",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 12:08:56","118.69.163.26","tcp",4786,,"cisco-smart-install",18403,"VN","HA NOI","HANOI",517311,
"2020-08-01 12:09:17","14.225.5.223","tcp",4786,,"cisco-smart-install",135905,"VN","HA NOI","HANOI",517311,
"2020-08-01 12:09:17","203.205.51.152","tcp",4786,"static.cmcti.vn","cisco-smart-install",45903,"VN","QUANG NAM","HOI AN",0,
"2020-08-01 12:09:17","103.97.125.8","tcp",4786,"no-ptr.123host.vn","cisco-smart-install",56153,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,
"2020-08-01 12:09:19","116.212.36.20","tcp",4786,,"cisco-smart-install",55322,"VN","HA NOI","HANOI",0,
"2020-08-01 12:09:25","14.225.3.197","tcp",4786,,"cisco-smart-install",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 12:09:28","42.112.38.4","tcp",4786,,"cisco-smart-install",18403,"VN","HA NOI","HANOI",517311,
"2020-08-01 12:09:50","125.212.250.170","tcp",4786,,"cisco-smart-install",3873,"VN","HA NOI","HANOI",517312,
"2020-08-01 12:09:59","111.91.233.70","tcp",4786,,"cisco-smart-install",45896,"VN","HA NOI","HANOI",0,
"2020-08-01 12:10:14","103.98.148.1","tcp",4786,,"cisco-smart-install",135921,"VN","HA NOI","HANOI",0,
"2020-08-01 12:10:23","202.60.105.212","tcp",4786,,"cisco-smart-install",24088,"VN","HA NOI","HANOI",519130,
"2020-08-01 12:10:24","152.32.162.254","tcp",4786,,"cisco-smart-install",135377,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,
"2020-08-01 12:10:24","101.99.50.180","tcp",4786,"static.cmcti.vn","cisco-smart-install",45903,"VN","DA NANG","DA NANG",0,
"2020-08-01 12:10:44","123.30.116.46","tcp",4786,"static.vnpt.vn","cisco-smart-install",45899,"VN","BA RIA-VUNG TAU","VUNG TAU",517311,
"2020-08-01 12:10:53","113.161.218.118","tcp",4786,"static.vnpt.vn","cisco-smart-install",45899,"VN","BAC LIEU","BAC LIEU",517311,
"2020-08-01 12:10:55","103.147.189.254","tcp",4786,"network.powernet.vn","cisco-smart-install",135905,"VN","HA NOI","HANOI",0,
"2020-08-01 12:11:24","45.119.240.170","tcp",4786,,"cisco-smart-install",131418,"VN","HA NOI","HANOI",0,
"2020-08-01 12:12:11","222.255.95.65","tcp",4786,"static.vnpt.vn","cisco-smart-install",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,
"2020-08-01 12:12:14","14.238.29.202","tcp",4786,"static.vnpt.vn","cisco-smart-install",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 12:12:21","103.97.125.7","tcp",4786,"no-ptr.123host.vn","cisco-smart-install",56153,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,
"2020-08-01 12:12:49","203.113.144.193","tcp",4786,,"cisco-smart-install",7552,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517312,
"2020-08-01 12:12:56","113.160.48.1","tcp",4786,"static.vnpt-hanoi.com.vn","cisco-smart-install",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 12:13:15","112.213.80.124","tcp",4786,,"cisco-smart-install",45544,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,
"2020-08-01 12:13:18","123.30.162.61","tcp",4786,"static.vnpt.vn","cisco-smart-install",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 12:13:38","222.255.42.38","tcp",4786,"static.vnpt.vn","cisco-smart-install",45899,"VN","HUNG YEN","HUNG YEN",517311,
"2020-08-01 12:13:39","222.255.95.81","tcp",4786,"static.vnpt.vn","cisco-smart-install",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,
"2020-08-01 12:13:39","112.109.90.129","tcp",4786,,"cisco-smart-install",55309,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,
"2020-08-01 12:13:40","118.70.1.149","tcp",4786,,"cisco-smart-install",18403,"VN","HA NOI","HANOI",517311,
"2020-08-01 12:14:47","14.238.14.241","tcp",4786,"static.vnpt.vn","cisco-smart-install",45899,"VN","HAI PHONG","HAI PHONG",517311,
"2020-08-01 12:14:48","1.55.247.162","tcp",4786,,"cisco-smart-install",18403,"VN","HA NOI","HANOI",517311,
"2020-08-01 12:15:42","203.162.24.190","tcp",4786,"static.vnpt.vn","cisco-smart-install",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 12:15:48","125.212.226.228","tcp",4786,,"cisco-smart-install",38731,"VN","HA NOI","HANOI",517312,
"2020-08-01 12:16:32","118.70.2.162","tcp",4786,,"cisco-smart-install",18403,"VN","HA NOI","HANOI",517311,
"2020-08-01 12:16:44","14.238.94.30","tcp",4786,"static.vnpt.vn","cisco-smart-install",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,
"2020-08-01 12:16:45","202.191.57.14","tcp",4786,,"cisco-smart-install",38727,"VN","HA NOI","HANOI",0,
"2020-08-01 12:16:45","222.255.95.73","tcp",4786,"static.vnpt.vn","cisco-smart-install",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,
"2020-08-01 12:17:09","103.195.241.125","tcp",4786,,"cisco-smart-install",63740,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,
"2020-08-01 12:17:12","222.255.5.125","tcp",4786,"static.vnpt.vn","cisco-smart-install",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 12:18:03","203.205.0.41","tcp",4786,"static.cmcti.vn","cisco-smart-install",45903,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,
"2020-08-01 12:18:36","103.21.149.101","tcp",4786,,"cisco-smart-install",38732,"VN","HA NOI","HANOI",0,
"2020-08-01 12:18:47","14.225.21.5","tcp",4786,"static.vnpt.vn","cisco-smart-install",135905,"VN","HA NOI","HANOI",517311,
"2020-08-01 12:18:52","222.255.5.46","tcp",4786,"static.vnpt.vn","cisco-smart-install",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 12:19:16","222.255.220.30","tcp",4786,"static.vnpt.vn","cisco-smart-install",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 12:19:16","125.212.255.202","tcp",4786,,"cisco-smart-install",3873,"VN","BA RIA-VUNG TAU","VUNG TAU",517312,
"2020-08-01 12:19:19","103.68.248.254","tcp",4786,"network.powernet.vn","cisco-smart-install",135905,"VN","HA NOI","HANOI",0,
"2020-08-01 12:19:38","101.53.19.52","tcp",4786,"ci53.19-52.netnam.vn","cisco-smart-install",24173,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,
"2020-08-01 12:19:38","222.255.221.65","tcp",4786,"dynamic.vdc.vn","cisco-smart-install",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 12:19:49","222.255.95.123","tcp",4786,"static.vnpt.vn","cisco-smart-install",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,
"2020-08-01 12:19:50","103.98.148.3","tcp",4786,,"cisco-smart-install",135921,"VN","HA NOI","HANOI",0,
"2020-08-01 12:20:11","203.162.120.11","tcp",4786,"static.vnpt.vn","cisco-smart-install",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 12:20:12","112.197.0.230","tcp",4786,,"cisco-smart-install",45543,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,
"2020-08-01 12:20:13","203.162.33.38","tcp",4786,"static.vnpt.vn","cisco-smart-install",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 12:20:17","203.162.120.12","tcp",4786,"static.vnpt.vn","cisco-smart-install",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 12:20:30","103.42.57.254","tcp",4786,"57-254.ip.vnptcorp.com","cisco-smart-install",45899,"VN","HA NOI","HANOI",0,
"2020-08-01 12:20:39","222.255.95.17","tcp",4786,"static.vnpt.vn","cisco-smart-install",45899,"VN","HO CHI MINH","THANH PHO HO CHI MINH",517311,
"2020-08-01 12:20:44","14.248.84.55","tcp",4786,,"cisco-smart-install",45899,"VN","HA NOI","HANOI",517311,
"2020-08-01 12:20:44","171.244.15.33","tcp",4786,,"cisco-smart-install",38731,"VN","HA NOI","HANOI",517312,
"2020-08-01 12:21:02","103.104.120.126","tcp",4786,"static-ptr.vndata.vn","cisco-smart-install",135932,"VN","HA NOI","HANOI",0,
"2020-08-01 12:21:07","101.99.50.190","tcp",4786,"static.cmcti.vn","cisco-smart-install",45903,"VN","DA NANG","DA NANG",0,
"2020-08-01 12:21:07","171.251.70.154","tcp",4786,"dynamic-ip-adsl.viettel.vn","cisco-smart-install",7552,"VN","DA NANG","DA NANG",517312,
"2020-08-01 12:21:43","171.244.52.23","tcp",4786,,"cisco-smart-install",38731,"VN","HA NOI","HANOI",517312,
"2020-08-01 12:21:49","45.122.245.65","tcp",4786,"static.cmcti.vn","cisco-smart-install",45903,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,
"2020-08-01 12:22:11","101.53.19.51","tcp",4786,"ci53.19-51.netnam.vn","cisco-smart-install",24173,"VN","HO CHI MINH","THANH PHO HO CHI MINH",0,
"2020-08-01 12:22:36","14.225.16.120","tcp",4786,,"cisco-smart-install",135905,"VN","HA NOI","HANOI",517311,
